"Gemeindenr"	"gini_steink.2001"	"median_steink.2001"	"primary.2001"	"secondary.2001"	"tertiary.2001"	"tert.2001"	"sek.2001"	"prim.2001"	"rank_median.2001"	"rank_gini.2001"	"gini_steink.2005"	"median_steink.2005"	"primary.2005"	"secondary.2005"	"tertiary.2005"	"tert.2005"	"sek.2005"	"prim.2005"	"rank_median.2005"	"rank_gini.2005"	"gini_steink.2008"	"median_steink.2008"	"primary.2008"	"secondary.2008"	"tertiary.2008"	"tert.2008"	"sek.2008"	"prim.2008"	"rank_median.2008"	"rank_gini.2008"	"gini_steink.1971"	"median_steink.1971"	"primary.1971"	"secondary.1971"	"tertiary.1971"	"tert.1971"	"sek.1971"	"prim.1971"	"rank_median.1971"	"rank_gini.1971"	"gini_steink.1981"	"median_steink.1981"	"primary.1981"	"secondary.1981"	"tertiary.1981"	"tert.1981"	"sek.1981"	"prim.1981"	"rank_median.1981"	"rank_gini.1981"	"gini_steink.1995"	"median_steink.1995"	"primary.1995"	"secondary.1995"	"tertiary.1995"	"tert.1995"	"sek.1995"	"prim.1995"	"rank_median.1995"	"rank_gini.1995"	"diff_gini"	"diff_median"	"diff_primary"	"diff_secondary"	"diff_tertiary"
1	0.467999994754791	64350	0.167198075413123	0.0450444082949086	0.787757516291969	208.68881	11.932941	44.293284	2017	2012.5	0.451999992132187	68300	0.131473926345311	0.0513414612544602	0.817184612400228	206.540254	12.976356	33.229527	2647	2576	0.43299999833107	71750	0.11763362704288	0.0446012822140487	0.837765090743071	211.081037	11.237619	29.638652	2605	2429.5	0.430000007152557	17500							1894	2668.5	0.479999989271164	30150							2401	2758	0.462000012397766	57300	0.200403298899334	0.0639739800007156	0.735622721099951	183.083552	15.921998	49.876855	2766	2746	-328.5	204	-0.0827696718564538	-0.0193726977866669	0.102142369643121
2	0.337999999523163	52300	0.0180848450605386	0.323838958666878	0.658076196272583	2569.8243	1264.60922	70.62233	1621	1543	0.349999994039536	51500	0.0142744715306115	0.298761187431587	0.686964341037802	2624.998369	1141.613302	54.544992	1777.5	2015.5	0.352999985218048	52900	0.0120515989191333	0.283530606292305	0.704417794788562	2943.280342	1184.680549	50.355392	1716.5	1940.5	0.323000013828278	19900							2599.5	1996	0.324999988079071	31300							2537.5	1595.5	0.323000013828278	49200	0.0183393274960534	0.380335646763634	0.601325025740313	2280.964677	1442.700933	69.565304	2388.5	1630.5	345	-821	-0.00628772857692008	-0.096805040471329	0.103092769048249
3	0.337000012397766	62600	0.0841530923246601	0.163680995418938	0.752165912256402	377.790894	82.212167	42.267632	1998	1529	0.337000012397766	64000	0.0932319530019801	0.150186268976087	0.756581778021933	413.746739	82.131345	50.985125	2574.5	1826	0.356000006198883	67700	0.100859120377967	0.153839858919264	0.745301020702769	391.284165	80.766159	52.951191	2547	1984.5	0.328999996185303	20300							2658.5	2065	0.323000013828278	36750							2802	1558.5	0.305999994277954	58800	0.103322952439445	0.200817196300061	0.695859851260494	345.843401	99.806451	51.351664	2792.5	1145	426	-255	-0.00246383206147799	-0.046977337380797	0.0494411694422749
4	0.377000004053116	56250	0.122024101941334	0.419011944207761	0.458963953850905	300.596871	274.430439	79.919268	1849	1837	0.35699999332428	58650	0.141805018935713	0.403874531662473	0.454320449401815	274.194204	243.748781	85.583016	2413.5	2089	0.365000009536743	60600	0.111801859537926	0.381197351693873	0.507000788768201	348.10594	261.729499	76.76298	2366	2068.5	0.303999990224838	19200							2481.5	1740.5	0.331000000238419	31600							2560.5	1715	0.354999989271164	52600	0.165193862506987	0.391827526824944	0.442978610668069	310.548143	274.688908	115.808407	2616	2223.5	353.5	-194.5	-0.0533920029690615	-0.0106301751310711	0.0640221781001326
5	0.360000014305115	60200	0.0212212539332684	0.489372229964966	0.489406516101765	567.684171	567.644401	24.615467	1964	1750	0.361999988555908	61100	0.0202774709514106	0.486295698336336	0.493426830712253	576.919565	568.581774	23.708621	2511.5	2146	0.389999985694885	64150	0.0161608990770027	0.652894772854459	0.330944328068538	410.834778	810.504536	20.062164	2484	2253.5	0.38400000333786	19900							2599.5	2506.5	0.398000001907349	31700							2569.5	2494.5	0.340000003576279	54300	0.0242720942531404	0.665828705153817	0.309899200593043	345.260331	741.803266	27.041668	2680	1997	-241	-85.5	-0.00811119517613773	-0.0129339322993577	0.0210451274754953
6	0.345999985933304	55950	0.310251731841004	0.242611633294621	0.447136634864375	82.897048	44.979066	57.519225	1837	1639.5	0.467000007629395	55300	0.245667969073274	0.299763416853877	0.454568614072848	90.49269	59.675035	48.90605	2173.5	2605	0.41499999165535	57950	0.222201620985429	0.311229389948828	0.466568989065743	90.044422	60.065009	42.883297	2205	2370	0.441000014543533	16000							1161.5	2714	0.36599999666214	29550							2308	2242.5	0.358999997377396	52700	0.250319811937623	0.265242771033469	0.484437417028908	96.908103	53.059844	50.074617	2621	2264	127.5	-103	-0.0281181909521944	0.0459866189153589	-0.0178684279631645
7	0.303000003099442	56850	0.158236054375096	0.207300996712687	0.634462948912217	188.188087	61.487559	46.934404	1874.5	970	0.308999985456467	57200	0.141938796907428	0.261031109374104	0.597030093718468	176.188296	77.032342	41.88726	2320.5	1202.5	0.30799999833107	61250	0.119796508549331	0.243172824431	0.637030667019669	223.068649	85.151683	41.949072	2395.5	1161.5	0.273999989032745	17000							1669.5	1319	0.328999996185303	29100							2226.5	1676	0.314000010490417	49800	0.181258012166329	0.234248514291225	0.584493473542446	163.981868	65.719312	50.852625	2448	1402.5	-514.5	169	-0.0614615036169988	0.00892431013977543	0.0525371934772234
8	0.310000002384186	50100	0.484286887555653	0.131206838644489	0.384506273799858	30.178975	10.29811	38.010516	1436.5	1110.5	0.293999999761581	51200	0.433122253567631	0.132219590772473	0.434658155659896	35.806965	10.892197	35.680438	1739	789	0.312999993562698	50500	0.318832237826474	0.157093156102601	0.524074606070924	48.68625	14.59387	29.619344	1363.5	1273	0.418000012636185	15850							1091.5	2633	0.319999992847443	26100							1503	1491	0.303000003099442	43900	0.454822964543626	0.163830750193483	0.381346285262891	44.04444	18.921998	52.530793	1722	1060	-218	-139.5	-0.135990726717152	-0.00673759409088154	0.142728320808033
9	0.351000010967255	57200	0.13951372586042	0.399981509174058	0.460504764965522	417.857654	362.939426	126.593431	1888	1684.5	0.398999989032745	58700	0.104330777207503	0.427451181783301	0.468218041009197	455.209969	415.575698	101.432251	2415.5	2399	0.379000008106232	61800	0.09495757806847	0.480993688512138	0.424048733419392	447.232492	507.290764	100.149136	2418	2177	0.384999990463257	18800							2391.5	2514	0.361000001430511	32300							2611.5	2178.5	0.34400001168251	52800	0.165779968144418	0.414080336937015	0.420139694918567	364.767183	359.506421	143.930918	2626.5	2059.5	-1.5	-193.5	-0.0708223900759484	0.0669133515751236	0.00390903850082486
10	0.331999987363815	54000	0.0714000051755661	0.404164253892565	0.524435740931869	409.288727	315.424484	55.723161	1725.5	1461.5	0.337000012397766	54300	0.0627739249352155	0.394985106153026	0.542240968911758	458.707661	334.136859	53.103476	2075	1826	0.337000012397766	56200	0.0547291464984059	0.36427913615674	0.580991717344854	492.712853	308.928694	46.413319	2057	1744	0.312999993562698	18150							2175	1854.5	0.303999990224838	32300							2611.5	1117.5	0.32600000500679	49600	0.0617543849549261	0.453660064328249	0.484585550716825	413.464798	387.078126	52.690932	2425.5	1717	626.5	-554.5	-0.0070252384565202	-0.0893809281715089	0.0964061666280292
11	0.393999993801117	55900	0.0677935561506246	0.298893956529602	0.633312487319774	263.855727	124.527597	28.244695	1833.5	1898.5	0.370000004768372	56700	0.0513858540049	0.320226095254158	0.628388050740942	270.184407	137.685778	22.094081	2290	2213	0.372000008821487	59700	0.038290919847678	0.420367688381053	0.541341391771269	287.85723	223.529699	20.361122	2316	2128.5	0.395999997854233	18250							2212	2560	0.414000004529953	30400							2439	2568.5	0.388000011444092	54100	0.0898418180381359	0.367797956197675	0.542360225764189	223.813325	151.777508	37.074614	2674.5	2492.5	-440	-123	-0.0515508981904578	0.0525697321833774	-0.00101883399291958
12	0.331000000238419	58800	0.258315250814445	0.371116254760611	0.370568494424944	53.519161	53.598271	37.307045	1931	1441.5	0.367000013589859	57550	0.191184344733952	0.393153855166166	0.415661800099883	60.039565	56.788443	27.615299	2344.5	2196.5	0.458999991416931	58200	0.239731208476313	0.339862461745764	0.420406329777923	58.12257	46.987113	33.143635	2228	2502	0.337000012397766	17500							1894	2154	0.333000004291534	29700							2333.5	1751	0.337000012397766	50700	0.362514811199871	0.31054387581807	0.326941312982059	49.277278	46.805822	54.63899	2513.5	1938	751	-105.5	-0.122783602723558	0.0293185859276942	0.0934650167958639
13	0.381000012159348	75000	0.0711340865304008	0.264724809546442	0.664141103923158	422.348712	168.34703	45.236456	2077	1849	0.381999999284744	71800	0.0560602940034237	0.2901401785877	0.653799527408876	403.861186	179.223679	34.629234	2686	2299.5	0.372999995946884	74200	0.0535805929439463	0.357928808867412	0.588490598188642	413.757032	251.653233	37.67154	2627	2135	0.533999979496002	22800							2844.5	2862.5	0.41499999165535	40400							2864	2573.5	0.372999995946884	62900	0.0930221112223814	0.345832485237747	0.561145403539871	316.512974	195.066141	52.468941	2844	2381	-438.5	-237	-0.0394415182784351	0.0120963236296647	0.0273451946487703
14	0.414000004529953	67900	0.0113982030472955	0.46186508541659	0.526736711536114	423.301335	371.168561	9.159936	2048	1957.5	0.400999993085861	68000	0.00950950081244832	0.453977674369476	0.536512824818076	405.79492	343.368929	7.192572	2642	2411	0.43299999833107	74100	0.00867956251911846	0.493023603549095	0.498296833931786	403.553286	399.28268	7.029276	2625	2429.5	0.377000004053116	28500							2925.5	2461.5	0.367000013589859	43100							2891	2253	0.388999998569489	64100	0.0152095886618281	0.480981704648173	0.503808706689999	466.657038	445.513336	14.088009	2853.5	2498	176.5	-266	-0.00653002614270961	0.0120418989009225	-0.0055118727582128
21	0.370000004768372	50900	0.244068527053147	0.128363978097284	0.627567494849569	100.772204	20.612159	39.191519	1510.5	1806	0.356000006198883	52700	0.279546991545382	0.14014474496829	0.580308263486329	75.462903	18.22433	36.352106	1933.5	2076	0.386999994516373	52100	0.238122286204709	0.108560905455463	0.653316808339829	77.876712	12.940684	28.384668	1612	2231.5	0.188999995589256	16200							1262	262	0.412000000476837	26700							1672.5	2560	0.324000000953674	49450	0.401359511445645	0.253739309518397	0.344901179035958	43.175835	31.7639	50.24347	2413	1657	-328.5	-60.5	-0.163237225240936	-0.145178404062935	0.229508509897519
22	0.312999993562698	50500	0.372728917459024	0.186614759654948	0.440656322886028	65.513716	27.744584	55.414742	1472.5	1161.5	0.321999996900558	57400	0.370537072060864	0.208001438935529	0.421461489003607	61.560152	30.381424	54.121952	2337	1532	0.324000000953674	58750	0.344460807093775	0.197631113761282	0.457908079144944	76.007461	32.804486	57.176522	2266	1520	0.441000014543533	18400							2259.5	2714	0.391000002622604	29550							2308	2451.5	0.298000007867813	49050	0.410936717061335	0.247856513573338	0.341206769365327	58.377131	42.405818	70.307241	2373	916.5	-931.5	-42	-0.0664759099675601	-0.0502253998120563	0.116701309779616
23	0.388000011444092	51900	0.509142718995997	0.155506458710841	0.335350822293162	30.191103	14	45.837312	1593	1884.5	0.367000013589859	52500	0.382339900966092	0.209165845012915	0.408494254020992	34.033575	17.426589	31.854533	1909.5	2196.5	0.437000006437302	51600	0.383094194574073	0.273424227669535	0.343481577756392	30.012159	23.890805	33.473364	1544	2448	0.34799998998642	17400							1852.5	2253.5	0.437999993562698	27050							1775	2659.5	0.363000005483627	46900	0.533469293204451	0.127169488306699	0.33936121848885	37.151885	13.921998	58.402047	2160	2301.5	-211.5	-231	-0.150375098630379	0.146254739362836	0.00412035926754234
