"","Administrative and commercial managers","Business and administration associate professionals","Business and administration professionals","Cleaners and helpers","Customer services clerks","Drivers and mobile plant operators","Electrical and electronic trades workers","Food preparation assistants","General and keyboard clerks","Health associate professionals","Health professionals","Hospitality retail and other services managers","Information and communications technicians","Information and communications technology professionals","Legal social and cultural professionals","Legal social cultural and related associate professionals","Market-oriented skilled forestry fishery and hunting workers","Numerical and material recording clerks","Other clerical support workers","Personal care workers","Personal service workers","Protective services workers","Sales workers","Science and engineering professionals","Stationary plant and machine operators","Teaching professionals"
2001,62300,53900,69700,22350,38800,37200,40900,23900,33450,27600,88700,44400,44100,47500,22050,42600,37600,42700,45000,22600,31750,46600,26900,53900,42900,43700
2002,83500,58000,66700,23700,41100,37650,42200,22750,34400,30600,92100,41300,48700,70100,21500,43000,35400,42900,39950,25300,32100,44500,28000,56800,42300,48600
2003,73400,51100,73550,26100,41300,38800,42950,27000,36550,32600,84600,50550,44500,78000,30300,45600,39800,43600,38700,28400,32900,49450,28250,62400,43200,51000
2004,86500,54800,64500,25800,47100,41800,44200,29500,46100,33700,86600,43300,48100,75500,39100,45400,38300,41900,46000,30350,33500,52500,29000,60300,44250,54350
2005,91700,69850,79350,24300,49500,40800,40900,27000,45500,35100,89600,50000,41900,69400,43700,46200,39000,44050,45200,25500,32600,53700,28550,67600,44000,53150
2006,95500,57950,75400,23350,48300,41650,43400,31350,42100,35600,84300,53300,42300,74700,54450,49300,41150,44900,50200,26400,32900,57200,28400,71150,49000,55100
2007,103400,70850,81800,27250,54200,42300,46350,30600,50000,37350,103100,50700,42650,97600,58600,52800,42100,42150,47200,26800,33100,62300,28000,73700,52450,56900
2008,90050,65500,71100,17200,47900,33800,36300,23800,36000,29000,85800,31450,33200,98250,55500,44800,31600,34750,39400,20300,23550,51100,20700,64950,45550,47400
2009,93200,57450,78100,18050,42800,35600,38000,22850,38900,29700,82300,40400,43700,98850,60250,46200,34600,38400,37500,19700,25400,53750,21300,73150,45300,52150
2010,102100,63650,92700,20100,57700,35700,39600,20100,36700,30200,93950,41000,46500,101250,62600,49200,32000,36250,36700,18800,26400,56500,23450,76700,44800,52000
2011,106250,68500,81200,18200,51100,36700,42900,22900,39200,31600,83600,38100,56250,110800,65000,45000,34300,34350,39100,20400,27200,59400,22600,72000,46500,56400
2012,93950,64200,76000,15700,43850,35400,38700,23500,36500,30000,74700,35000,43800,124700,60000,42200,36900,37500,40000,18750,24500,51400,21300,58400,45700,52800
2013,83900,72000,83550,18000,40200,35000,39300,20950,34000,30000,71050,37100,46950,80800,59500,43600,36300,37050,37850,20000,24800,51400,21900,60200,46800,52200
